dataset_size,subset_size,coverage_threshold,#females,#questions,result
100000,9,50,50,10720,True
100000,9,50,50,10954,True
100000,9,50,50,10795,True
100000,9,50,50,10901,True
100000,9,50,50,11126,True
100000,9,50,50,10919,True
100000,9,50,50,11123,True
100000,9,50,50,10718,True
100000,9,50,50,10963,True
100000,9,50,50,11025,True
100000,9,50,50,11002,True
100000,9,50,50,11135,True
100000,9,50,50,11087,True
100000,9,50,50,11048,True
100000,9,50,50,10902,True
100000,9,50,50,11043,True
100000,9,50,50,11027,True
100000,9,50,50,10893,True
100000,9,50,50,11288,True
100000,9,50,50,11098,True
100000,9,50,50,10555,True
100000,9,50,50,10852,True
100000,9,50,50,11029,True
100000,9,50,50,10846,True
100000,10,50,50,9681,True
100000,10,50,50,9727,True
100000,10,50,50,9863,True
100000,10,50,50,9969,True
100000,10,50,50,9986,True
100000,10,50,50,10060,True
100000,10,50,50,10084,True
100000,10,50,50,9307,True
100000,10,50,50,9743,True
100000,10,50,50,9847,True
100000,10,50,50,10039,True
100000,10,50,50,10154,True
100000,10,50,50,9274,True
100000,10,50,50,9658,True
100000,10,50,50,9918,True
100000,10,50,50,9871,True
100000,10,50,50,9993,True
100000,10,50,50,9918,True
100000,10,50,50,9339,True
100000,10,50,50,9304,True
100000,10,50,50,9406,True
100000,10,50,50,9843,True
100000,10,50,50,10042,True
100000,10,50,50,9830,True
100000,10,50,50,9746,True
100000,10,50,50,9703,True
100000,10,50,50,9852,True
100000,10,50,50,10007,True
100000,10,50,50,9871,True
100000,10,50,50,9616,True
100000,10,50,50,9255,True
100000,10,50,50,9856,True
100000,10,50,50,9834,True
100000,10,50,50,9922,True
100000,10,50,50,9759,True
100000,10,50,50,9916,True
100000,10,50,50,9995,True
100000,10,50,50,9697,True
100000,10,50,50,10101,True
100000,10,50,50,9894,True
100000,10,50,50,9939,True
100000,10,50,50,9437,True
100000,10,50,50,9939,True
100000,10,50,50,9749,True
100000,10,50,50,9955,True
100000,10,50,50,9982,True
100000,10,50,50,9914,True
100000,10,50,50,9986,True
100000,10,50,50,9977,True
100000,10,50,50,10186,True
100000,11,50,50,9048,True
100000,11,50,50,8345,True
100000,11,50,50,8647,True
100000,11,50,50,8555,True
100000,11,50,50,9038,True
100000,11,50,50,9039,True
100000,11,50,50,8982,True
100000,11,50,50,8750,True
100000,11,50,50,8891,True
100000,11,50,50,9037,True
100000,11,50,50,8657,True
100000,11,50,50,9034,True
100000,11,50,50,8768,True
100000,11,50,50,8985,True
100000,11,50,50,8950,True
100000,11,50,50,9091,True
100000,11,50,50,8455,True
100000,11,50,50,9031,True
100000,11,50,50,9057,True
100000,11,50,50,8984,True
100000,11,50,50,9017,True
100000,11,50,50,9035,True
100000,11,50,50,8975,True
100000,11,50,50,8896,True
100000,11,50,50,9033,True
100000,11,50,50,8982,True
100000,11,50,50,8978,True
100000,11,50,50,9203,True
100000,11,50,50,8037,True
100000,11,50,50,9149,True
100000,11,50,50,8819,True
100000,11,50,50,8405,True
100000,11,50,50,9159,True
100000,11,50,50,8946,True
100000,11,50,50,9195,True
100000,11,50,50,9081,True
100000,11,50,50,8717,True
100000,11,50,50,9102,True
100000,11,50,50,9072,True
100000,11,50,50,9295,True
100000,11,50,50,8691,True
100000,11,50,50,8712,True
100000,11,50,50,8976,True
100000,11,50,50,9080,True
100000,11,50,50,8945,True
100000,11,50,50,9088,True
100000,11,50,50,8903,True
100000,11,50,50,9072,True
100000,11,50,50,9016,True
100000,11,50,50,9019,True
100000,12,50,50,8160,True
100000,12,50,50,8428,True
100000,12,50,50,8411,True
100000,12,50,50,8363,True
100000,12,50,50,8282,True
100000,12,50,50,8194,True
100000,12,50,50,8237,True
100000,12,50,50,8256,True
100000,12,50,50,8232,True
100000,12,50,50,8051,True
100000,12,50,50,8226,True
100000,12,50,50,8295,True
100000,12,50,50,8312,True
100000,12,50,50,7967,True
100000,12,50,50,8041,True
100000,12,50,50,8220,True
100000,12,50,50,8253,True
100000,12,50,50,8066,True
100000,12,50,50,8147,True
100000,12,50,50,8342,True
100000,12,50,50,7906,True
100000,12,50,50,8198,True
100000,12,50,50,8263,True
100000,12,50,50,8181,True
100000,12,50,50,8301,True
100000,12,50,50,8242,True
100000,12,50,50,8285,True
100000,12,50,50,8281,True
100000,12,50,50,8143,True
100000,12,50,50,8388,True
100000,12,50,50,8505,True
100000,12,50,50,8281,True
100000,12,50,50,7954,True
100000,12,50,50,8292,True
100000,12,50,50,8083,True
100000,12,50,50,8140,True
100000,12,50,50,8377,True
100000,12,50,50,8288,True
100000,12,50,50,8260,True
100000,12,50,50,8032,True
100000,12,50,50,8523,True
100000,12,50,50,8070,True
100000,12,50,50,8277,True
100000,12,50,50,8355,True
100000,12,50,50,8158,True
100000,12,50,50,7916,True
100000,12,50,50,8439,True
100000,12,50,50,8166,True
100000,12,50,50,8179,True
100000,12,50,50,8385,True
100000,13,50,50,7585,True
100000,13,50,50,7352,True
100000,13,50,50,7613,True
100000,13,50,50,7431,True
100000,13,50,50,7485,True
100000,13,50,50,7618,True
100000,13,50,50,7523,True
100000,13,50,50,7592,True
100000,13,50,50,7654,True
100000,13,50,50,7665,True
100000,13,50,50,7663,True
100000,13,50,50,7661,True
100000,13,50,50,7557,True
100000,13,50,50,7633,True
100000,13,50,50,7483,True
100000,13,50,50,7670,True
100000,13,50,50,7597,True
100000,13,50,50,7682,True
100000,13,50,50,7633,True
100000,13,50,50,7521,True
100000,13,50,50,7577,True
100000,13,50,50,7658,True
100000,13,50,50,7616,True
100000,13,50,50,7674,True
100000,13,50,50,7937,True
100000,13,50,50,7374,True
100000,13,50,50,7647,True
100000,13,50,50,7403,True
100000,13,50,50,7614,True
100000,13,50,50,7503,True
100000,13,50,50,7681,True
100000,13,50,50,7650,True
100000,13,50,50,7330,True
100000,13,50,50,7671,True
100000,13,50,50,7284,True
100000,13,50,50,7679,True
100000,13,50,50,7219,True
100000,13,50,50,7610,True
100000,13,50,50,7590,True
100000,13,50,50,7666,True
100000,13,50,50,7464,True
100000,13,50,50,7632,True
100000,13,50,50,7426,True
100000,13,50,50,7813,True
100000,13,50,50,7697,True
100000,13,50,50,7505,True
100000,13,50,50,7865,True
100000,13,50,50,7690,True
100000,13,50,50,7401,True
100000,13,50,50,7623,True
100000,14,50,50,7005,True
100000,14,50,50,7114,True
100000,14,50,50,7317,True
100000,14,50,50,7052,True
100000,14,50,50,6999,True
100000,14,50,50,7139,True
100000,14,50,50,7091,True
100000,14,50,50,7177,True
100000,14,50,50,7262,True
100000,14,50,50,6919,True
100000,14,50,50,7119,True
100000,14,50,50,6994,True
100000,14,50,50,6736,True
100000,14,50,50,7263,True
100000,14,50,50,7120,True
100000,14,50,50,7107,True
100000,14,50,50,7069,True
100000,14,50,50,7139,True
100000,14,50,50,7108,True
100000,14,50,50,7097,True
100000,14,50,50,7083,True
100000,14,50,50,6824,True
100000,14,50,50,6931,True
100000,14,50,50,7033,True
100000,14,50,50,6702,True
100000,14,50,50,7157,True
100000,14,50,50,6988,True
100000,14,50,50,7026,True
100000,14,50,50,7029,True
100000,14,50,50,7128,True
100000,14,50,50,7095,True
100000,14,50,50,7057,True
100000,14,50,50,7055,True
100000,14,50,50,6883,True
100000,14,50,50,7025,True
100000,14,50,50,7203,True
100000,14,50,50,7191,True
100000,14,50,50,7069,True
100000,14,50,50,7116,True
100000,14,50,50,7115,True
100000,14,50,50,7375,True
100000,14,50,50,6988,True
100000,14,50,50,7009,True
100000,14,50,50,7155,True
100000,14,50,50,7045,True
100000,14,50,50,7390,True
100000,14,50,50,7015,True
100000,14,50,50,6985,True
100000,14,50,50,7098,True
100000,14,50,50,6923,True
100000,15,50,50,6472,True
100000,15,50,50,6459,True
100000,15,50,50,6620,True
100000,15,50,50,6714,True
100000,15,50,50,6723,True
100000,15,50,50,6433,True
100000,15,50,50,6670,True
100000,15,50,50,6786,True
100000,15,50,50,6559,True
100000,15,50,50,6659,True
100000,15,50,50,6596,True
100000,15,50,50,6528,True
100000,15,50,50,6532,True
100000,15,50,50,6608,True
100000,15,50,50,6570,True
100000,15,50,50,6445,True
100000,15,50,50,6435,True
100000,15,50,50,6669,True
100000,15,50,50,6633,True
100000,15,50,50,6522,True
100000,15,50,50,6584,True
100000,15,50,50,6510,True
100000,15,50,50,6350,True
100000,15,50,50,6664,True
100000,15,50,50,6605,True
100000,15,50,50,6624,True
100000,15,50,50,6525,True
100000,15,50,50,6601,True
100000,15,50,50,6702,True
100000,15,50,50,6630,True
100000,15,50,50,6616,True
100000,15,50,50,6487,True
100000,15,50,50,6639,True
100000,15,50,50,6855,True
100000,15,50,50,6418,True
100000,15,50,50,6585,True
100000,15,50,50,6597,True
100000,15,50,50,6663,True
100000,15,50,50,6469,True
100000,15,50,50,6635,True
100000,15,50,50,6709,True
100000,15,50,50,6320,True
100000,15,50,50,6618,True
100000,15,50,50,6521,True
100000,15,50,50,6666,True
100000,15,50,50,6526,True
100000,15,50,50,6521,True
100000,15,50,50,6377,True
100000,15,50,50,6577,True
100000,15,50,50,6605,True
100000,16,50,50,5921,True
100000,16,50,50,6037,True
100000,16,50,50,6145,True
100000,16,50,50,6165,True
100000,16,50,50,6127,True
100000,16,50,50,6049,True
100000,16,50,50,5931,True
100000,16,50,50,6134,True
100000,16,50,50,6183,True
100000,16,50,50,6175,True
100000,16,50,50,6209,True
100000,16,50,50,6235,True
100000,16,50,50,6187,True
100000,16,50,50,5913,True
100000,16,50,50,6180,True
100000,16,50,50,6241,True
100000,16,50,50,6438,True
100000,16,50,50,6006,True
100000,16,50,50,6145,True
100000,16,50,50,6238,True
100000,16,50,50,6317,True
100000,16,50,50,6197,True
100000,16,50,50,6269,True
100000,16,50,50,6224,True
100000,16,50,50,6016,True
100000,16,50,50,6243,True
100000,16,50,50,6237,True
100000,16,50,50,6092,True
100000,16,50,50,6090,True
100000,16,50,50,5924,True
100000,16,50,50,6476,True
100000,16,50,50,6206,True
100000,16,50,50,6292,True
100000,16,50,50,6093,True
100000,16,50,50,6149,True
100000,16,50,50,6134,True
100000,16,50,50,6230,True
100000,16,50,50,6262,True
100000,16,50,50,6205,True
100000,16,50,50,6324,True
100000,16,50,50,6086,True
100000,16,50,50,6219,True
100000,16,50,50,6195,True
100000,16,50,50,6204,True
100000,16,50,50,6269,True
100000,16,50,50,6320,True
100000,16,50,50,5777,True
100000,16,50,50,6105,True
100000,16,50,50,5870,True
100000,16,50,50,6208,True
100000,17,50,50,5734,True
100000,17,50,50,5770,True
100000,17,50,50,5992,True
100000,17,50,50,5835,True
100000,17,50,50,5736,True
100000,17,50,50,5785,True
100000,17,50,50,5933,True
100000,17,50,50,5822,True
100000,17,50,50,5588,True
100000,17,50,50,5812,True
100000,17,50,50,5843,True
100000,17,50,50,5835,True
100000,17,50,50,5821,True
100000,17,50,50,5636,True
100000,17,50,50,5893,True
100000,17,50,50,5821,True
100000,17,50,50,5798,True
100000,17,50,50,5624,True
100000,17,50,50,5870,True
100000,17,50,50,5816,True
100000,17,50,50,5872,True
100000,17,50,50,5786,True
100000,17,50,50,5870,True
100000,17,50,50,5720,True
100000,17,50,50,5866,True
100000,17,50,50,5709,True
100000,17,50,50,5790,True
100000,17,50,50,5711,True
100000,17,50,50,5750,True
100000,17,50,50,6016,True
100000,17,50,50,5932,True
100000,17,50,50,5868,True
100000,17,50,50,5657,True
100000,17,50,50,5714,True
100000,17,50,50,5879,True
100000,17,50,50,5592,True
100000,17,50,50,5772,True
100000,17,50,50,5869,True
100000,17,50,50,5844,True
100000,17,50,50,5744,True
100000,17,50,50,5830,True
100000,17,50,50,5824,True
100000,17,50,50,5812,True
100000,17,50,50,5759,True
100000,17,50,50,5865,True
100000,17,50,50,5713,True
100000,17,50,50,5836,True
100000,17,50,50,5871,True
100000,17,50,50,5695,True
100000,17,50,50,5776,True
100000,18,50,50,5659,True
100000,18,50,50,5552,True
100000,18,50,50,5520,True
100000,18,50,50,5644,True
100000,18,50,50,5549,True
100000,18,50,50,5563,True
100000,18,50,50,5398,True
100000,18,50,50,5223,True
100000,18,50,50,5554,True
100000,18,50,50,5822,True
100000,18,50,50,5549,True
100000,18,50,50,5538,True
100000,18,50,50,5480,True
100000,18,50,50,5159,True
100000,18,50,50,5363,True
100000,18,50,50,5500,True
100000,18,50,50,5433,True
100000,18,50,50,5545,True
100000,18,50,50,5487,True
100000,18,50,50,5402,True
100000,18,50,50,5492,True
100000,18,50,50,5451,True
100000,18,50,50,5554,True
100000,18,50,50,5492,True
100000,18,50,50,5501,True
100000,18,50,50,5535,True
100000,18,50,50,5527,True
100000,18,50,50,5466,True
100000,18,50,50,5402,True
100000,18,50,50,5541,True
100000,18,50,50,5320,True
100000,18,50,50,5578,True
100000,18,50,50,5417,True
100000,18,50,50,5517,True
100000,18,50,50,5515,True
100000,18,50,50,5490,True
100000,18,50,50,5525,True
100000,18,50,50,5437,True
100000,18,50,50,5501,True
100000,18,50,50,5514,True
100000,18,50,50,5542,True
100000,18,50,50,5559,True
100000,18,50,50,5544,True
100000,18,50,50,5505,True
100000,18,50,50,5534,True
100000,18,50,50,5582,True
100000,18,50,50,5651,True
100000,18,50,50,5533,True
100000,18,50,50,5379,True
100000,18,50,50,5419,True
100000,19,50,50,5420,True
100000,19,50,50,5276,True
100000,19,50,50,5227,True
100000,19,50,50,5290,True
100000,19,50,50,5202,True
100000,19,50,50,5278,True
100000,19,50,50,5102,True
100000,19,50,50,5401,True
100000,19,50,50,5186,True
100000,19,50,50,5181,True
100000,19,50,50,4976,True
100000,19,50,50,5218,True
100000,19,50,50,5256,True
100000,19,50,50,5537,True
100000,19,50,50,5144,True
100000,19,50,50,5252,True
100000,19,50,50,5191,True
100000,19,50,50,5203,True
100000,19,50,50,5246,True
100000,19,50,50,5195,True
100000,19,50,50,5100,True
100000,19,50,50,5445,True
100000,19,50,50,5201,True
100000,19,50,50,5240,True
100000,19,50,50,5190,True
100000,19,50,50,5237,True
100000,19,50,50,5256,True
100000,19,50,50,5426,True
100000,19,50,50,5243,True
100000,19,50,50,4867,True
100000,19,50,50,4906,True
100000,19,50,50,5221,True
100000,19,50,50,5459,True
100000,19,50,50,5227,True
100000,19,50,50,5276,True
100000,19,50,50,5198,True
100000,19,50,50,5229,True
100000,19,50,50,5186,True
100000,19,50,50,5301,True
100000,19,50,50,5275,True
100000,19,50,50,5229,True
100000,19,50,50,5159,True
100000,19,50,50,5174,True
100000,19,50,50,5119,True
100000,19,50,50,5225,True
100000,19,50,50,5248,True
100000,19,50,50,5206,True
100000,19,50,50,5144,True
100000,19,50,50,5102,True
100000,19,50,50,5245,True
100000,20,50,50,5041,True
100000,20,50,50,4839,True
100000,20,50,50,4975,True
100000,20,50,50,4827,True
100000,20,50,50,4993,True
100000,20,50,50,4681,True
100000,20,50,50,4910,True
100000,20,50,50,4934,True
100000,20,50,50,5300,True
100000,20,50,50,5080,True
100000,20,50,50,4909,True
100000,20,50,50,4977,True
100000,20,50,50,4983,True
100000,20,50,50,5088,True
100000,20,50,50,5182,True
100000,20,50,50,4907,True
100000,20,50,50,4831,True
100000,20,50,50,4913,True
100000,20,50,50,4956,True
100000,20,50,50,4972,True
100000,20,50,50,4996,True
100000,20,50,50,4943,True
100000,20,50,50,4881,True
100000,20,50,50,5085,True
100000,20,50,50,4893,True
100000,20,50,50,5087,True
100000,20,50,50,4873,True
100000,20,50,50,4984,True
100000,20,50,50,5108,True
100000,20,50,50,5267,True
100000,20,50,50,4892,True
100000,20,50,50,4896,True
100000,20,50,50,4960,True
100000,20,50,50,5030,True
100000,20,50,50,5044,True
100000,20,50,50,4881,True
100000,20,50,50,5042,True
100000,20,50,50,4828,True
100000,20,50,50,4992,True
100000,20,50,50,4908,True
100000,20,50,50,5065,True
100000,20,50,50,4585,True
100000,20,50,50,4919,True
100000,20,50,50,4923,True
100000,20,50,50,4905,True
100000,20,50,50,5029,True
100000,20,50,50,4950,True
100000,20,50,50,4999,True
100000,20,50,50,5039,True
100000,20,50,50,4865,True
100000,21,50,50,4713,True
100000,21,50,50,4867,True
100000,21,50,50,4702,True
100000,21,50,50,4639,True
100000,21,50,50,4529,True
100000,21,50,50,4745,True
100000,21,50,50,4599,True
100000,21,50,50,4751,True
100000,21,50,50,4618,True
100000,21,50,50,4734,True
100000,21,50,50,4356,True
100000,21,50,50,4701,True
100000,21,50,50,4702,True
100000,21,50,50,4543,True
100000,21,50,50,4643,True
100000,21,50,50,4992,True
100000,21,50,50,4629,True
100000,21,50,50,4680,True
100000,21,50,50,4762,True
100000,21,50,50,4572,True
100000,21,50,50,4762,True
100000,21,50,50,4712,True
100000,21,50,50,4671,True
100000,21,50,50,4712,True
100000,21,50,50,4689,True
100000,21,50,50,4720,True
100000,21,50,50,4664,True
100000,21,50,50,4729,True
100000,21,50,50,4875,True
100000,21,50,50,5034,True
100000,21,50,50,4722,True
100000,21,50,50,4749,True
100000,21,50,50,4806,True
100000,21,50,50,4894,True
100000,21,50,50,4740,True
100000,21,50,50,4533,True
100000,21,50,50,4822,True
100000,21,50,50,4618,True
100000,21,50,50,5017,True
100000,21,50,50,4802,True
100000,21,50,50,4795,True
100000,21,50,50,4546,True
100000,21,50,50,4730,True
100000,21,50,50,4512,True
100000,21,50,50,4819,True
100000,21,50,50,4748,True
100000,21,50,50,4888,True
100000,21,50,50,4754,True
100000,21,50,50,4668,True
100000,21,50,50,4746,True
100000,22,50,50,4684,True
100000,22,50,50,4603,True
100000,22,50,50,4483,True
100000,22,50,50,4474,True
100000,22,50,50,4428,True
100000,22,50,50,4420,True
100000,22,50,50,4488,True
100000,22,50,50,4444,True
100000,22,50,50,4260,True
100000,22,50,50,4424,True
100000,22,50,50,4541,True
100000,22,50,50,4519,True
100000,22,50,50,4674,True
100000,22,50,50,4540,True
100000,22,50,50,4473,True
100000,22,50,50,4838,True
100000,22,50,50,4451,True
100000,22,50,50,4261,True
100000,22,50,50,4320,True
100000,22,50,50,4437,True
100000,22,50,50,4541,True
100000,22,50,50,4404,True
100000,22,50,50,4508,True
100000,22,50,50,4537,True
100000,22,50,50,4493,True
100000,22,50,50,4520,True
100000,22,50,50,4298,True
100000,22,50,50,4508,True
100000,22,50,50,4409,True
100000,22,50,50,4541,True
100000,22,50,50,4446,True
100000,22,50,50,4434,True
100000,22,50,50,4519,True
100000,22,50,50,4487,True
100000,22,50,50,4615,True
100000,22,50,50,4710,True
100000,22,50,50,4525,True
100000,22,50,50,4537,True
100000,22,50,50,4453,True
100000,22,50,50,4480,True
100000,22,50,50,4553,True
100000,22,50,50,4477,True
100000,22,50,50,4442,True
100000,22,50,50,4497,True
100000,22,50,50,4509,True
100000,22,50,50,4475,True
100000,22,50,50,4712,True
100000,22,50,50,4587,True
100000,22,50,50,4482,True
100000,22,50,50,4580,True
100000,23,50,50,4300,True
100000,23,50,50,4548,True
100000,23,50,50,4274,True
100000,23,50,50,4253,True
100000,23,50,50,4431,True
100000,23,50,50,4333,True
100000,23,50,50,4319,True
100000,23,50,50,4223,True
100000,23,50,50,4342,True
100000,23,50,50,4337,True
100000,23,50,50,4264,True
100000,23,50,50,4171,True
100000,23,50,50,4610,True
100000,23,50,50,4317,True
100000,23,50,50,4286,True
100000,23,50,50,4459,True
100000,23,50,50,4286,True
100000,23,50,50,4332,True
100000,23,50,50,4348,True
100000,23,50,50,4346,True
100000,23,50,50,4306,True
100000,23,50,50,4353,True
100000,23,50,50,4434,True
100000,23,50,50,4447,True
100000,23,50,50,4153,True
100000,23,50,50,4249,True
100000,23,50,50,4334,True
100000,23,50,50,4340,True
100000,23,50,50,4230,True
100000,23,50,50,4269,True
100000,23,50,50,4355,True
100000,23,50,50,4333,True
100000,23,50,50,4263,True
100000,23,50,50,4320,True
100000,23,50,50,4268,True
100000,23,50,50,4298,True
100000,23,50,50,4329,True
100000,23,50,50,4423,True
100000,23,50,50,4292,True
100000,23,50,50,4093,True
100000,23,50,50,4129,True
100000,23,50,50,4269,True
100000,23,50,50,4331,True
100000,23,50,50,4311,True
100000,23,50,50,4345,True
100000,23,50,50,4303,True
100000,23,50,50,4406,True
100000,23,50,50,4435,True
100000,23,50,50,4344,True
100000,23,50,50,4228,True
100000,24,50,50,4104,True
100000,24,50,50,4231,True
100000,24,50,50,4180,True
100000,24,50,50,4154,True
100000,24,50,50,4061,True
100000,24,50,50,4127,True
100000,24,50,50,4118,True
100000,24,50,50,4109,True
100000,24,50,50,4120,True
100000,24,50,50,4157,True
100000,24,50,50,4122,True
100000,24,50,50,4137,True
100000,24,50,50,4061,True
100000,24,50,50,4082,True
100000,24,50,50,4188,True
100000,24,50,50,4104,True
100000,24,50,50,4154,True
100000,24,50,50,3988,True
100000,24,50,50,4205,True
100000,24,50,50,4250,True
100000,24,50,50,4056,True
100000,24,50,50,4108,True
100000,24,50,50,3974,True
100000,24,50,50,4107,True
100000,24,50,50,4163,True
100000,24,50,50,4012,True
100000,24,50,50,4125,True
100000,24,50,50,4142,True
100000,24,50,50,4100,True
100000,24,50,50,3979,True
100000,24,50,50,4245,True
100000,24,50,50,4159,True
100000,24,50,50,4392,True
100000,24,50,50,4159,True
100000,24,50,50,4111,True
100000,24,50,50,4114,True
100000,24,50,50,4280,True
100000,24,50,50,4180,True
100000,24,50,50,4110,True
100000,24,50,50,4078,True
100000,24,50,50,4246,True
100000,24,50,50,4228,True
100000,24,50,50,4119,True
100000,24,50,50,4039,True
100000,24,50,50,4056,True
