dataset_size,subset_size,coverage_threshold,#females,#questions,result
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,0,2000,False
100000,50,50,1,2008,False
100000,50,50,1,2011,False
100000,50,50,1,2009,False
100000,50,50,1,2010,False
100000,50,50,1,2008,False
100000,50,50,1,2010,False
100000,50,50,1,2009,False
100000,50,50,1,2007,False
100000,50,50,1,2007,False
100000,50,50,1,2010,False
100000,50,50,1,2008,False
100000,50,50,1,2008,False
100000,50,50,1,2010,False
100000,50,50,1,2007,False
100000,50,50,1,2008,False
