,dataset_size,subset_size,coverage_threshold,#females,#questions,result,m
79,396000,50.0,50.0,50.0,7797.0,1.0,0.01968939393939394
80,401000,50.0,50.0,50.0,7859.0,1.0,0.01959850374064838
81,406000,50.0,50.0,50.0,7969.2,1.0,0.01962857142857143
82,411000,50.0,50.0,50.0,8081.3,1.0,0.019662530413625305
83,416000,50.0,50.0,50.0,8243.2,1.0,0.019815384615384617
84,421000,50.0,50.0,50.0,8264.1,1.0,0.019629691211401425
85,426000,50.0,50.0,50.0,8385.95,1.0,0.019685328638497656
86,431000,50.0,50.0,50.0,8443.05,1.0,0.019589443155452434
87,436000,50.0,50.0,50.0,8621.65,1.0,0.019774426605504585
88,441000,50.0,50.0,50.0,8653.45,1.0,0.01962233560090703
89,446000,50.0,50.0,50.0,8824.6,1.0,0.019786098654708522
90,451000,50.0,50.0,50.0,8887.1,1.0,0.019705321507760533
91,456000,50.0,50.0,50.0,9049.8,1.0,0.019846052631578945
92,461000,50.0,50.0,50.0,9137.6,1.0,0.01982125813449024
93,466000,50.0,50.0,50.0,9195.5,1.0,0.01973283261802575
94,471000,50.0,50.0,50.0,9305.9,1.0,0.019757749469214436
95,476000,50.0,50.0,50.0,9357.1,1.0,0.019657773109243697
96,481000,50.0,50.0,50.0,9382.0,1.0,0.019505197505197504
97,486000,50.0,50.0,50.0,9533.25,1.0,0.01961574074074074
98,491000,50.0,50.0,50.0,9654.3,1.0,0.01966252545824847
99,496000,50.0,50.0,50.0,9724.35,1.0,0.01960554435483871
100,501000,50.0,50.0,50.0,9907.95,1.0,0.019776347305389224
101,506000,50.0,50.0,50.0,9976.1,1.0,0.019715612648221345
102,511000,50.0,50.0,50.0,10056.75,1.0,0.019680528375733856
103,516000,50.0,50.0,50.0,10184.65,1.0,0.019737693798449613
104,521000,50.0,50.0,50.0,10240.25,1.0,0.019654990403071018
105,526000,50.0,50.0,50.0,10346.5,1.0,0.019670152091254754
106,531000,50.0,50.0,50.0,10442.45,1.0,0.019665630885122413
107,536000,50.0,50.0,50.0,10534.15,1.0,0.019653264925373132
108,541000,50.0,50.0,50.0,10663.0,1.0,0.019709796672828097
109,546000,50.0,50.0,50.0,10749.0,1.0,0.019686813186813187
110,551000,50.0,50.0,50.0,10828.3,1.0,0.019652087114337566
111,556000,50.0,50.0,50.0,10854.5,1.0,0.019522482014388488
112,561000,50.0,50.0,50.0,11062.6,1.0,0.019719429590017826
113,566000,50.0,50.0,50.0,11144.7,1.0,0.01969028268551237
114,571000,50.0,50.0,50.0,11169.95,1.0,0.019562084063047287
115,576000,50.0,50.0,50.0,11338.8,1.0,0.019685416666666667
116,581000,50.0,50.0,50.0,11414.8,1.0,0.019646815834767642
117,586000,50.0,50.0,50.0,11534.3,1.0,0.01968310580204778
118,591000,50.0,50.0,50.0,11580.35,1.0,0.01959450084602369
119,596000,50.0,50.0,50.0,11685.7,1.0,0.019606879194630875
120,601000,50.0,50.0,50.0,11795.85,1.0,0.01962703826955075
121,606000,50.0,50.0,50.0,11908.15,1.0,0.019650412541254124
122,611000,50.0,50.0,50.0,12007.45,1.0,0.01965212765957447
123,616000,50.0,50.0,50.0,12149.15,1.0,0.019722646103896103
124,621000,50.0,50.0,50.0,12186.55,1.0,0.01962407407407407
125,626000,50.0,50.0,50.0,12377.25,1.0,0.01977196485623003
126,631000,50.0,50.0,50.0,12407.75,1.0,0.01966362916006339
127,636000,50.0,50.0,50.0,12534.8,1.0,0.01970880503144654
